,Combination,B_I,Ker Len,Duplicate Elem Vect,Duplicate
4,"(0, 1, 2, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 1, 0]])",1,[0 0 0 0 1],1
5,"(0, 1, 2, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 0, 1]])",1,[0 0 0 1 0],1
7,"(0, 1, 2, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 0, 1, 0]])",1,[0 0 0 0 1],1
8,"(0, 1, 2, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 1]])",1,[0 0 0 1 0],1
9,"(0, 1, 2, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
10,"(0, 1, 2, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
13,"(0, 1, 2, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 0, 1, 0]])",1,[0 0 0 0 1],1
14,"(0, 1, 2, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 0, 0, 1]])",1,[0 0 0 1 0],1
15,"(0, 1, 2, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
16,"(0, 1, 2, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
17,"(0, 1, 2, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 1, 1]])",1,[0 0 0 -1 1],1
18,"(0, 1, 2, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
19,"(0, 1, 2, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
20,"(0, 1, 2, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
21,"(0, 1, 2, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
22,"(0, 1, 2, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
23,"(0, 1, 2, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
24,"(0, 1, 2, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
25,"(0, 1, 2, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
26,"(0, 1, 2, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
27,"(0, 1, 2, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
30,"(0, 1, 3, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 0, 0]])",1,[0 0 0 0 1],1
32,"(0, 1, 3, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 0, 1]])",1,[0 0 1 0 0],1
33,"(0, 1, 3, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 0, 0]])",1,[0 0 0 0 1],1
35,"(0, 1, 3, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 0, 1]])",1,[0 0 1 0 0],1
36,"(0, 1, 3, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
38,"(0, 1, 3, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
39,"(0, 1, 3, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 0, 0]])",1,[0 0 0 0 1],1
41,"(0, 1, 3, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 0, 0, 1]])",1,[0 0 1 0 0],1
42,"(0, 1, 3, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
43,"(0, 1, 3, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 0, 1]])",1,[0 0 -1 0 1],1
44,"(0, 1, 3, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
45,"(0, 1, 3, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
46,"(0, 1, 3, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 0, 1]])",1,[0 0 -1 0 1],1
47,"(0, 1, 3, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
48,"(0, 1, 3, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 1, 1]])",1,[0 0 -1 0 1],1
49,"(0, 1, 3, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
50,"(0, 1, 3, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 0, 1]])",1,[0 0 -1 0 1],1
51,"(0, 1, 3, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
52,"(0, 1, 3, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 1, 1]])",1,[0 0 -1 0 1],1
53,"(0, 1, 3, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 1, 1]])",1,[0 0 -1 0 1],1
54,"(0, 1, 3, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 1, 1]])",1,[0 0 -1 0 1],1
56,"(0, 1, 4, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 0, 0]])",1,[0 0 0 1 0],1
