,Combination,B_I,Ker Len,Elementary Vector,Duplicate,Group
0,"(0, 1, 2, 3)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",0,368.0
1,"(0, 1, 2, 4)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",0,369.0
2,"(0, 1, 2, 5)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 1, 0, 0, 0]])",2,,0,
3,"(0, 1, 2, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 1, 0, 0]])",2,,0,
4,"(0, 1, 2, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
5,"(0, 1, 2, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
6,"(0, 1, 2, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 1, 0, 0]])",2,,0,
7,"(0, 1, 2, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8,"(0, 1, 2, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
9,"(0, 1, 2, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
10,"(0, 1, 2, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
